,question
0,What type of organism is commonly used in preparation of foods such as cheese and yogurt?
1,What phenomenon makes global winds blow northeast to southwest or the reverse in the northern hemisphere and northwest to southeast or the reverse in the southern hemisphere?
2,Changes from a less-ordered state to a more-ordered state (such as a liquid to a solid) are always what?
3,What is the least dangerous radioactive decay?
4,Kilauea in hawaii is the world’s most continuously active volcano. very active volcanoes characteristically eject red-hot rocks and lava rather than this?
5,"When a meteoroid reaches earth, what is the remaining object called?"
6,What kind of a reaction occurs when a substance reacts quickly with oxygen?
7,"Organisms categorized by what species descriptor demonstrate a version of allopatric speciation and have limited regions of overlap with one another, but where they overlap they interbreed successfully?."
8,Alpha emission is a type of what?
9,What is the stored food in a seed called?
10,"Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?"
11,What is controlled by both genes and experiences in a given envionment?
12,What tells you how much of the food you should eat to get the nutrients listed on the label?
13,What are used to write nuclear equations for radioactive decay?
14,What is controlled by regulatory proteins that bind to regulatory elements on dna?
15,Boron only occurs naturally in compounds with what element?
16,What organ systems link exchange surfaces with cells throughout the body?
17,What occurs when the immune system attacks a harmless substance that enters the body from the outside?
18,"Fertilization is the union of a sperm and egg, resulting in the formation of what?"
19,The plants alternation between haploid and diploud generations allow it to do what?
20,Most of the chemical reactions in the body are facilitated by what?
21,What is the termination of a pregnancy in progress called?
22,"Cutting down on the use of chemical fertilizers and preserving wetlands are ways to prevent what ""unlivable"" regions in bodies of water?"
23,Which muscles allow your fingers to also make precise movements for actions?
24,Testing what usually requires making observations or performing experiments?
25,This sharing of electrons produces what is known as a covalent bond. covalent bonds are ~20 to 50 times stronger than what?
26,Water molecules move about continuously due to what type of energy?
27,A small scale version of what type of map displays individual rock units?
28,What is defined as a change in the inherited traits of organisms over time?
29,"What hormone, which is associated with luteinizing hormone and male sexuality, helps bring about physical changes in puberty?"
30,Where do angiosperms produce seeds in flowers?
31,"In order to create food, what do photosynthetic protists use?"
32,What type of vertebrates are birds?
33,What type of ions do ionic compounds contain?
34,All living things need air and this to survive?
35,The cells of all eukarya have a what?
36,What type of plate boundaries produce huge mountain ranges in the ocean basin?
37,Interstitial carbides are produced by the reaction of most transition metals at high temperatures with what element?
38,"Fungus-like protist saprobes play what role in a food chain and are specialized to absorb nutrients from nonliving organic matter, such as dead organisms or their wastes?"
39,What are the sites of protein synthesis or assembly?
40,What must replicate in the cell cycle before meiosis i takes place?
41,What phenomenon is primarily the result of plate tectonic motions?
42,What is a group of neuron cell bodies in the periphery called?
43,Where does most of our food come from?
44,Gases are most ideal at high temperature and what pressure?
45,Hard igneous rocks and easily dissolved sedimentary rocks respond very differently to what natural force?
46,A diet rich in calcium and what vitamin may reduce the risk of osteoporosis and related bone fractures?
47,How many people die from air pollution each year?
